brand,avg_rating,reviews_count,performance_score
Renuzit,4.6,380.0,27.336877125582824
Revlon,4.45,872.75,30.13893460628869
SAMIMPORT-2011,4.3,23.0,13.665631470496166
SKYCARPER,5.0,1.0,3.4657359027997265
Safavieh,2.5,2.0,2.7465307216702737
Sawyer,4.5,115.0,21.39115585997864
Schick,4.7,1742.6666666666667,35.07960363710176
Scott Containers,4.9,10.0,11.749686836712018
Scrubbing Bubbles,5.0,1.0,3.4657359027997265
Seal-a-Meal,5.0,9.0,11.51292546497023
Sebastian Professional,5.0,2.0,5.493061443340547
Secret,4.3,152.0,21.630883061987472
Snuggle,2.85,153.5,14.364553174562731
Softsheen-Carson,3.7,156.0,18.70810947978874
South of France,4.0,3.0,5.545177444479562
Sparkle and Bash,5.0,2.0,5.493061443340547
Spectracide,4.0,52.0,15.881167654208488
Suave,4.5,260.0,25.040341832952123
Sufanic,1.0,1.0,0.6931471805599453
Sunfood Superfoods,5.0,2.0,5.493061443340547
Supco,4.5,2.0,4.943755299006493
Surker,1.0,1.0,0.6931471805599453
SweatBlock,4.3,16.0,12.18281737944173
Swiss Diamond,4.0,1.0,2.772588722239781
TL Care Inc,4.0,2.5,5.011051873981472
Tadpoles,4.8,43.0,18.164110242807652
Tanac,4.5,8.0,9.887510598012987
Tepe,4.45,175.0,23.008653777919776
The ConfiDental,4.5,2.0,4.943755299006493
The First Years,4.6,8.0,10.10723305574661
The Mane Choice,4.4,26.0,14.50168221041905
The Pioneer Woman,4.7,26.0,15.490433270220347
ThermaCELL,3.6,39.0,13.27996603481017
Tiesta Tea,4.5,8.0,9.887510598012987
Tim Hortons,4.9,14.0,13.26944598540083
Tork,3.0,3.0,4.1588830833596715
Treefrog,5.0,2.0,5.493061443340547
Tyler Candle,4.9,14.0,13.26944598540083
Victor,3.8,4.0,6.115864067249581
VitPro,5.0,2.0,5.493061443340547
Waterloo Sparkling Water,4.4,532.0,27.625494266329717
WinFun,4.3,6.0,8.367413640937846
Windsoft,3.0,2.0,3.2958368660043287
YBIKE,5.0,5.0,8.958797346140274
Zeepk,4.0,1.0,2.772588722239781
Zero Odor,4.9,52.0,19.454430376405398
affresh,4.6,13676.0,43.80796599685513
e.l.f. Cosmetics,3.8,78.0,16.603901839374682
fencesmart4u,1.8,8.0,3.9550042392051954
happylost17,5.0,1.0,3.4657359027997265
iMounTEK,3.8,5.0,6.808685983066608
prabensei,5.0,6.0,9.729550745276565
windfall,1.0,1.0,0.6931471805599453
zhongxinda,5.0,2.0,5.493061443340547
